CASEID,weight,wdtotal,wdprmor,fmsz27,nbear27,dvfcrn, atinc27 ,wdstcred,wdsloan,wnetwpg,dvphlv2g,hcsex_r,wdstomor,wdstloc,ecpage,ecfexchr,watotpt
77,3291.9874,57500,57500,2,2,9,10950,0,0,3250,3,1,0,0,38,1500,60750
78,5799.9424,255000,240000,4,1,2,62225,0,0,116400,4,1,0,0,38,0,369500
79,7343.6317,85000,50000,3,2,2,30175,8500,0,168836,3,1,0,14500,49,0,253836
80,752.7602,117500,60000,3,3,2,94525,0,0,3301000,4,2,0,0,51,0,3418500
81,256.7097,331500,270000,4,2,1,91050,31000,0,321050,4,1,0,11500,45,9000,647550
82,4213.5501,93750,92500,2,2,3,83400,0,0,188550,3,1,0,1250,29,0,278050
83,5605.2381,182000,155000,4,2,3,60250,19000,0,62175,4,1,0,8000,52,4500,243925
84,4917.9195,209000,185000,2,2,1,104150,0,0,282000,3,1,0,0,35,0,474000
85,4496.0682,92500,82500,2,2,2,56150,1500,0,189000,3,1,0,0,29,0,281500
86,3113.3526,49350,47500,2,2,1,62500,1850,0,225801,4,1,0,0,44,725,275151
87,3509.0312,68000,60000,5,3,2,64450,0,8000,166325,3,1,0,0,56,0,234325
88,6226.1353,205000,190000,3,1,2,60900,0,0,160600,4,1,0,5000,35,0,364400
89,6525.659,156800,135000,4,2,2,72400,550,0,85275,4,1,0,5250,34,2500,236575
90,4872.8093,157100,155000,5,2,3,98925,0,0,152500,3,1,0,2100,45,0,309600
91,255.0764,290000,290000,2,2,2,176025,0,0,626000,2,1,0,0,33,0,916000
92,3983.6712,81750,60000,3,3,3,71150,5250,0,429350,2,2,0,16500,56,0,511100
93,1845.2422,164425,120000,4,3,2,64475,3700,0,138625,1,1,0,40000,47,0,285050
94,6508.7142,154500,115000,2,2,2,71725,16000,0,107001,4,2,0,2500,28,5000,263501
95,2379.3338,79000,60000,1,1,1,41375,0,0,113500,2,2,0,0,54,0,191500
96,4675.0327,95225,95000,3,3,2,35075,225,0,218275,2,1,0,0,52,0,313500
97,11410.4707,112100,87500,2,2,1,138350,2100,0,186550,2,2,0,15500,39,4700,298650
98,135.0914,125000,125000,2,2,2,158375,0,0,3427951,4,1,0,0,66,0,3577951
99,2556.8475,62500,62500,1,1,1,74400,0,0,522400,3,1,0,0,57,0,604900
100,3174.8192,35000,15000,4,2,3,93525,0,0,756400,2,1,0,0,45,0,731400
101,2733.6155,127500,90000,1,1,2,27775,28000,0,250500,2,1,0,9500,50,0,377500
102,3531.6783,54000,21000,5,2,2,96075,0,0,556050,4,1,0,10000,46,0,580050
103,2523.3619,129250,120000,1,1,1,39275,0,0,74775,2,1,0,9250,28,0,204075
104,10518.2617,122500,70000,1,1,1,30275,52500,0,216875,4,2,0,0,69,0,341375
105,6209.5413,77500,77500,4,2,1,70975,0,0,207700,3,1,0,0,35,0,261200
106,518.7008,168500,150000,5,3,3,85375,5000,0,669500,2,1,0,0,38,3700,768000
107,5593.9002,75900,67500,5,2,9,51750,0,0,300,1,2,0,0,45,0,76200
108,2984.6877,121675,120000,1,1,1,35800,1000,0,40350,3,1,0,675,23,0,162025
109,8009.99,176750,100000,3,1,1,70375,11500,5750,167250,2,1,0,7000,41,0,314000
110,4761.8106,143500,105000,2,1,9,47325,12500,0,584450,1,1,0,26000,57,0,727950
111,5796.9066,92500,92500,3,2,1,50050,0,0,108150,3,1,0,0,32,0,197650
112,4601.8608,12000,12000,1,1,3,35025,0,0,704500,2,2,0,0,79,0,716500
113,4720.0377,303250,200000,4,3,2,54300,5750,57500,342250,3,2,0,40000,45,0,645500
114,2473.9412,122000,95000,2,2,2,65825,2000,0,480300,2,1,0,0,50,0,552300
115,1622.5285,184250,175000,4,1,3,58325,9250,0,135225,3,1,0,0,41,0,301475
116,178.0858,124000,100000,2,1,2,178600,0,0,882000,4,1,0,0,39,0,1006000
117,3652.3044,175000,175000,1,1,9,31150,0,0,558000,3,1,0,0,40,0,721000
118,5745.3642,201150,200000,4,2,1,31750,1150,0,330150,2,1,0,0,40,0,531300
119,3437.0875,191500,155000,3,2,3,58000,19000,0,61900,2,1,0,10500,34,0,253400
120,3842.4363,254750,230000,5,3,2,83250,7750,12000,399400,4,2,0,5000,45,0,664150
